argv[0] = "projectile.py"
argv[1] = "-ts"
argv[2] = "0.01"
argv[3] = "-velocity"
argv[4] = "10.0"
argv[5] = "-angle"
argv[6] = "90.0"

time_step =  0.01  seconds
angle_degrees =  90.0  degrees
type(angle_degrees) =  <class 'float'>
velocity =  10.0  feet/second
angle_radians =  1.5707963267948966  radians
vx0 =  6.123233995736766e-16  feet/second
vy0 =  10.0  feet/second
N	t	x	y	v_x	v_y
N=1	t=0.000000	x=0.000000	y=0.000000	v_x=0.000000	v_y=10.000000
N=2	t=0.010000	x=0.000000	y=0.098400	v_x=0.000000	v_y=9.680000
N=3	t=0.020000	x=0.000000	y=0.193600	v_x=0.000000	v_y=9.360000
N=4	t=0.030000	x=0.000000	y=0.285600	v_x=0.000000	v_y=9.040000
N=5	t=0.040000	x=0.000000	y=0.374400	v_x=0.000000	v_y=8.720000
N=6	t=0.050000	x=0.000000	y=0.460000	v_x=0.000000	v_y=8.400000
N=7	t=0.060000	x=0.000000	y=0.542400	v_x=0.000000	v_y=8.080000
N=8	t=0.070000	x=0.000000	y=0.621600	v_x=0.000000	v_y=7.760000
N=9	t=0.080000	x=0.000000	y=0.697600	v_x=0.000000	v_y=7.440000
N=10	t=0.090000	x=0.000000	y=0.770400	v_x=0.000000	v_y=7.120000
N=11	t=0.100000	x=0.000000	y=0.840000	v_x=0.000000	v_y=6.800000
N=12	t=0.110000	x=0.000000	y=0.906400	v_x=0.000000	v_y=6.480000
N=13	t=0.120000	x=0.000000	y=0.969600	v_x=0.000000	v_y=6.160000
N=14	t=0.130000	x=0.000000	y=1.029600	v_x=0.000000	v_y=5.840000
N=15	t=0.140000	x=0.000000	y=1.086400	v_x=0.000000	v_y=5.520000
N=16	t=0.150000	x=0.000000	y=1.140000	v_x=0.000000	v_y=5.200000
N=17	t=0.160000	x=0.000000	y=1.190400	v_x=0.000000	v_y=4.880000
N=18	t=0.170000	x=0.000000	y=1.237600	v_x=0.000000	v_y=4.560000
N=19	t=0.180000	x=0.000000	y=1.281600	v_x=0.000000	v_y=4.240000
N=20	t=0.190000	x=0.000000	y=1.322400	v_x=0.000000	v_y=3.920000
N=21	t=0.200000	x=0.000000	y=1.360000	v_x=0.000000	v_y=3.600000
N=22	t=0.210000	x=0.000000	y=1.394400	v_x=0.000000	v_y=3.280000
N=23	t=0.220000	x=0.000000	y=1.425600	v_x=0.000000	v_y=2.960000
N=24	t=0.230000	x=0.000000	y=1.453600	v_x=0.000000	v_y=2.640000
N=25	t=0.240000	x=0.000000	y=1.478400	v_x=0.000000	v_y=2.320000
N=26	t=0.250000	x=0.000000	y=1.500000	v_x=0.000000	v_y=2.000000
N=27	t=0.260000	x=0.000000	y=1.518400	v_x=0.000000	v_y=1.680000
N=28	t=0.270000	x=0.000000	y=1.533600	v_x=0.000000	v_y=1.360000
N=29	t=0.280000	x=0.000000	y=1.545600	v_x=0.000000	v_y=1.040000
N=30	t=0.290000	x=0.000000	y=1.554400	v_x=0.000000	v_y=0.720000
N=31	t=0.300000	x=0.000000	y=1.560000	v_x=0.000000	v_y=0.400000
N=32	t=0.310000	x=0.000000	y=1.562400	v_x=0.000000	v_y=0.080000
N=33	t=0.320000	x=0.000000	y=1.561600	v_x=0.000000	v_y=-0.240000
N=34	t=0.330000	x=0.000000	y=1.557600	v_x=0.000000	v_y=-0.560000
N=35	t=0.340000	x=0.000000	y=1.550400	v_x=0.000000	v_y=-0.880000
N=36	t=0.350000	x=0.000000	y=1.540000	v_x=0.000000	v_y=-1.200000
N=37	t=0.360000	x=0.000000	y=1.526400	v_x=0.000000	v_y=-1.520000
N=38	t=0.370000	x=0.000000	y=1.509600	v_x=0.000000	v_y=-1.840000
N=39	t=0.380000	x=0.000000	y=1.489600	v_x=0.000000	v_y=-2.160000
N=40	t=0.390000	x=0.000000	y=1.466400	v_x=0.000000	v_y=-2.480000
N=41	t=0.400000	x=0.000000	y=1.440000	v_x=0.000000	v_y=-2.800000
N=42	t=0.410000	x=0.000000	y=1.410400	v_x=0.000000	v_y=-3.120000
N=43	t=0.420000	x=0.000000	y=1.377600	v_x=0.000000	v_y=-3.440000
N=44	t=0.430000	x=0.000000	y=1.341600	v_x=0.000000	v_y=-3.760000
N=45	t=0.440000	x=0.000000	y=1.302400	v_x=0.000000	v_y=-4.080000
N=46	t=0.450000	x=0.000000	y=1.260000	v_x=0.000000	v_y=-4.400000
N=47	t=0.460000	x=0.000000	y=1.214400	v_x=0.000000	v_y=-4.720000
N=48	t=0.470000	x=0.000000	y=1.165600	v_x=0.000000	v_y=-5.040000
N=49	t=0.480000	x=0.000000	y=1.113600	v_x=0.000000	v_y=-5.360000
N=50	t=0.490000	x=0.000000	y=1.058400	v_x=0.000000	v_y=-5.680000
N=51	t=0.500000	x=0.000000	y=1.000000	v_x=0.000000	v_y=-6.000000
N=52	t=0.510000	x=0.000000	y=0.938400	v_x=0.000000	v_y=-6.320000
N=53	t=0.520000	x=0.000000	y=0.873600	v_x=0.000000	v_y=-6.640000
N=54	t=0.530000	x=0.000000	y=0.805600	v_x=0.000000	v_y=-6.960000
N=55	t=0.540000	x=0.000000	y=0.734400	v_x=0.000000	v_y=-7.280000
N=56	t=0.550000	x=0.000000	y=0.660000	v_x=0.000000	v_y=-7.600000
N=57	t=0.560000	x=0.000000	y=0.582400	v_x=0.000000	v_y=-7.920000
N=58	t=0.570000	x=0.000000	y=0.501600	v_x=0.000000	v_y=-8.240000
N=59	t=0.580000	x=0.000000	y=0.417600	v_x=0.000000	v_y=-8.560000
N=60	t=0.590000	x=0.000000	y=0.330400	v_x=0.000000	v_y=-8.880000
N=61	t=0.600000	x=0.000000	y=0.240000	v_x=0.000000	v_y=-9.200000
N=62	t=0.610000	x=0.000000	y=0.146400	v_x=0.000000	v_y=-9.520000
N=63	t=0.620000	x=0.000000	y=0.049600	v_x=0.000000	v_y=-9.840000
N=64	t=0.630000	x=0.000000	y=-0.050400	v_x=0.000000	v_y=-10.160000
